| event_message                                    | event_type | execution_id                         | function_id                          | id                                   | level | timestamp        |
| shutdown                                         | Shutdown   | 35c2b519-d82c-41df-848e-50ebd2d4b86c | 4c128a94-86f9-4314-b244-1d36b62ad632 | 6f1587bb-2448-46e1-876e-110c905d6615 | log   | 1790251672387000 |
| --> POST /server/send-order-email 404 2ms<br>    | Log        | 35c2b519-d82c-41df-848e-50ebd2d4b86c | 4c128a94-86f9-4314-b244-1d36b62ad632 | 95c5565b-1fd3-40f0-9b5b-35325bf456c3 | info  | 1790251657452000 |
| <-- POST /server/send-order-email<br>            | Log        | 35c2b519-d82c-41df-848e-50ebd2d4b86c | 4c128a94-86f9-4314-b244-1d36b62ad632 | 7df5cfbd-3f18-4a1e-b94e-b1380d8fbc75 | info  | 1790251657450000 |
| booted (time: 33ms)                              | Boot       | 35c2b519-d82c-41df-848e-50ebd2d4b86c | 4c128a94-86f9-4314-b244-1d36b62ad632 | a63647ea-c5cc-4634-ad92-f91d74be774f | log   | 1790251657445000 |
| --> POST /server/send-order-email 404 1ms<br>    | Log        | 148d68e5-df82-4597-949f-714b88713cee | 4c128a94-86f9-4314-b244-1d36b62ad632 | 617c62b0-b9de-4170-a405-9b73fb04085e | info  | 1790251656954000 |
| <-- POST /server/send-order-email<br>            | Log        | 148d68e5-df82-4597-949f-714b88713cee | 4c128a94-86f9-4314-b244-1d36b62ad632 | d1652924-872c-4303-90ab-267ea285003e | info  | 1790251656952000 |
| booted (time: 30ms)                              | Boot       | 148d68e5-df82-4597-949f-714b88713cee | 4c128a94-86f9-4314-b244-1d36b62ad632 | 53c9ae9c-1346-4b17-8f94-65b51e4d755f | log   | 1790251656946000 |
| --> OPTIONS /server/send-order-email 204 1ms<br> | Log        | 5df5f41f-39fa-4c05-b4d6-a9ddf94782a5 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 3d41bf7c-8d5f-4e8f-8ca7-c68fd2f46b71 | info  | 1790251655023000 |
| <-- OPTIONS /server/send-order-email<br>         | Log        | 5df5f41f-39fa-4c05-b4d6-a9ddf94782a5 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 66fd76f2-8898-485d-abc9-0f69723ec953 | info  | 1790251655022000 |
| booted (time: 25ms)                              | Boot       | 5df5f41f-39fa-4c05-b4d6-a9ddf94782a5 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 1c722f38-307a-47bd-9776-6ccaa347631b | log   | 1790251655017000 |
| --> OPTIONS /server/send-order-email 204 1ms<br> | Log        | e4c3ece9-6826-48d5-a00e-e38084519de8 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 0b3f466b-bae9-4f7e-a98f-16c59f76094f | info  | 1790251654902000 |
| <-- OPTIONS /server/send-order-email<br>         | Log        | e4c3ece9-6826-48d5-a00e-e38084519de8 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 4d70d103-ffdb-4e4b-99ca-82cb5f8b6fec | info  | 1790251654900000 |
| booted (time: 24ms)                              | Boot       | e4c3ece9-6826-48d5-a00e-e38084519de8 | 4c128a94-86f9-4314-b244-1d36b62ad632 | f38e31d4-b9b0-414b-b0d4-6c68cf379325 | log   | 1790251654894000 |
